usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,list_price_usd,cost_type,inference_geo,speed
2026-04-27,Claude Haiku 4.5,Default,Sheath,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Sheath,message,≤ 200k,input_cache_read,0.16,0.16,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Sheath,message,≤ 200k,input_cache_write_5m,0.63,0.63,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Sheath,message,≤ 200k,output,0.17,0.17,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Blade2,message,≤ 200k,input_no_cache,0.01,0.01,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Blade2,message,≤ 200k,input_cache_read,1.35,1.35,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Blade2,message,≤ 200k,input_cache_write_5m,7.10,7.10,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Blade2,message,≤ 200k,output,0.67,0.67,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Ember,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Ember,message,≤ 200k,input_cache_read,0.01,0.01,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Ember,message,≤ 200k,input_cache_write_5m,0.27,0.27,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Ember,message,≤ 200k,output,0.00,0.00,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Bubba,message,≤ 200k,input_no_cache,5.41,5.41,token,not_available,
2026-04-27,Claude Haiku 4.5,Default,Bubba,message,≤ 200k,output,1.39,1.39,token,not_available,
2026-04-27,Claude Sonnet 4,Default,Sheath,message,≤ 200k,input_no_cache,0.01,0.01,token,not_available,
2026-04-27,Claude Sonnet 4,Default,Sheath,message,≤ 200k,input_cache_read,16.27,16.27,token,not_available,
2026-04-27,Claude Sonnet 4,Default,Sheath,message,≤ 200k,input_cache_write_5m,19.44,19.44,token,not_available,
2026-04-27,Claude Sonnet 4,Default,Sheath,message,≤ 200k,output,1.32,1.32,token,not_available,
2026-04-27,Claude Sonnet 4.6,Default,Sheath,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Sheath,message,≤ 200k,input_cache_read,0.17,0.17,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Sheath,message,≤ 200k,input_cache_write_5m,2.05,2.05,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Sheath,message,≤ 200k,output,0.07,0.07,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Blade2,message,≤ 200k,input_no_cache,0.03,0.03,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Blade2,message,≤ 200k,input_cache_read,7.43,7.43,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Blade2,message,≤ 200k,input_cache_write_5m,32.21,32.21,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Blade2,message,≤ 200k,output,1.32,1.32,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Ember,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Ember,message,≤ 200k,input_cache_read,1.65,1.65,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Ember,message,≤ 200k,input_cache_write_5m,11.71,11.71,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Ember,message,≤ 200k,output,0.27,0.27,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Bubba,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Bubba,message,≤ 200k,input_cache_read,0.34,0.34,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Bubba,message,≤ 200k,input_cache_write_5m,4.67,4.67,token,global,
2026-04-27,Claude Sonnet 4.6,Default,Bubba,message,≤ 200k,output,0.06,0.06,token,global,
2026-04-29,Summary,Default,Blade2,message,≤ 200k,cost_summary,64.44,64.44,token,global,
2026-04-29,Summary,Default,Ember,message,≤ 200k,cost_summary,31.16,31.16,token,global,
2026-04-29,Summary,Default,Bubba,message,≤ 200k,cost_summary,17.82,17.82,token,global,
2026-04-29,Summary,Default,Frank,message,≤ 200k,cost_summary,5.35,5.35,token,global,
2026-04-29,Summary,Default,Sheath,message,≤ 200k,cost_summary,5.24,5.24,token,global,
